#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MJ_419_00011	360104.CCC13826_0952	9.98e-154	450.0	COG4268@1|root,COG4268@2|Bacteria,1N9D3@1224|Proteobacteria,42WJV@68525|delta/epsilon subdivisions,2YQG1@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	V	McrBC 5-methylcytosine restriction system component	-	-	-	-	-	-	-	-	-	-	-	-	McrBC
MJ_419_00012	944546.ABED_0816	2.12e-29	106.0	COG1396@1|root,COG1396@2|Bacteria,1R1S2@1224|Proteobacteria,4316J@68525|delta/epsilon subdivisions,2YSDD@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	K	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
MJ_419_00013	1123326.JFBL01000004_gene2141	1.31e-178	508.0	COG3550@1|root,COG3550@2|Bacteria,1RHBA@1224|Proteobacteria,42VDG@68525|delta/epsilon subdivisions	1224|Proteobacteria	S	Pfam:HipA_N	-	-	2.7.11.1	ko:K07154	-	-	-	-	ko00000,ko01000,ko01001,ko02048	-	-	-	Couple_hipA,HipA_C
MJ_419_00017	1166016.W5S_3538	2.92e-08	65.5	COG1450@1|root,COG1450@2|Bacteria,1NQ25@1224|Proteobacteria,1S00D@1236|Gammaproteobacteria,1MPUP@122277|Pectobacterium	1236|Gammaproteobacteria	NU	Secretin N-terminal domain	pilN	-	-	-	-	-	-	-	-	-	-	-	Secretin,Secretin_N_2
MJ_419_00019	1218076.BAYB01000062_gene6324	3.62e-09	63.5	COG0433@1|root,COG0433@2|Bacteria,1QRTI@1224|Proteobacteria,2WCIY@28216|Betaproteobacteria,1K7YP@119060|Burkholderiaceae	28216|Betaproteobacteria	S	COG0433 Predicted ATPase	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00020	326298.Suden_0694	1.17e-164	465.0	COG2842@1|root,COG2842@2|Bacteria,1PSN7@1224|Proteobacteria,42SI9@68525|delta/epsilon subdivisions,2YRDF@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	Bacterial TniB protein	-	-	-	-	-	-	-	-	-	-	-	-	TniB
MJ_419_00021	326298.Suden_0693	1.79e-123	369.0	COG2801@1|root,COG2801@2|Bacteria,1MXCK@1224|Proteobacteria,42NGV@68525|delta/epsilon subdivisions,2YR74@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	Mu transposase, C-terminal	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_23,HTH_28,Mu-transpos_C,rve
MJ_419_00022	1165841.SULAR_05363	1.86e-224	625.0	COG0137@1|root,COG0137@2|Bacteria,1MV0Y@1224|Proteobacteria,42N81@68525|delta/epsilon subdivisions,2YMAU@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Belongs to the argininosuccinate synthase family. Type 1 subfamily	argG	-	6.3.4.5	ko:K01940	ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,ko05418,map00220,map00250,map01100,map01110,map01130,map01230,map05418	M00029,M00844,M00845	R01954	RC00380,RC00629	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Arginosuc_synth
MJ_419_00023	563040.Saut_0877	2.87e-145	412.0	COG0607@1|root,COG4802@1|root,COG0607@2|Bacteria,COG4802@2|Bacteria,1QYD3@1224|Proteobacteria,42PN1@68525|delta/epsilon subdivisions,2YMYE@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	CP	PFAM Ferredoxin thioredoxin reductase catalytic beta chain	-	-	-	-	-	-	-	-	-	-	-	-	FeThRed_B,Rhodanese
MJ_419_00024	326298.Suden_1375	3.12e-65	202.0	COG0359@1|root,COG0359@2|Bacteria,1RD0R@1224|Proteobacteria,42SCQ@68525|delta/epsilon subdivisions,2YPEP@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	J	Binds to the 23S rRNA	rplI	-	-	ko:K02939	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L9_C,Ribosomal_L9_N
MJ_419_00025	1172190.M947_02200	3.05e-104	303.0	COG5405@1|root,COG5405@2|Bacteria,1MVF2@1224|Proteobacteria,42MEH@68525|delta/epsilon subdivisions,2YMFC@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	O	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery	hslV	-	3.4.25.2	ko:K01419	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Proteasome
MJ_419_00026	929558.SMGD1_0833	6.85e-50	167.0	2BN8J@1|root,32GW0@2|Bacteria,1RH74@1224|Proteobacteria	1224|Proteobacteria	S	LPP20 lipoprotein	-	-	-	-	-	-	-	-	-	-	-	-	LPP20
MJ_419_00027	929558.SMGD1_0834	1.15e-22	93.2	2FF1X@1|root,34709@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00028	317025.Tcr_1648	1.35e-23	101.0	2BG7W@1|root,32A4T@2|Bacteria,1PJRJ@1224|Proteobacteria,1TF9W@1236|Gammaproteobacteria,462UU@72273|Thiotrichales	72273|Thiotrichales	L	TnsA endonuclease C terminal	-	-	-	-	-	-	-	-	-	-	-	-	Tn7_Tnp_TnsA_C,Tn7_Tnp_TnsA_N
MJ_419_00029	338963.Pcar_0125	4.62e-159	478.0	COG2801@1|root,COG2801@2|Bacteria,1MXCK@1224|Proteobacteria,42NGV@68525|delta/epsilon subdivisions,2WMFM@28221|Deltaproteobacteria,43T0Q@69541|Desulfuromonadales	28221|Deltaproteobacteria	L	Mu transposase, C-terminal	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	Mu-transpos_C,rve
MJ_419_00030	317025.Tcr_1646	5.59e-76	241.0	COG2842@1|root,COG2842@2|Bacteria,1R9BD@1224|Proteobacteria,1SCZF@1236|Gammaproteobacteria,462I6@72273|Thiotrichales	72273|Thiotrichales	S	Bacterial TniB protein	-	-	-	-	-	-	-	-	-	-	-	-	TniB
MJ_419_00031	563040.Saut_0711	6.5e-91	268.0	COG0757@1|root,COG0757@2|Bacteria,1RDDT@1224|Proteobacteria,42QU1@68525|delta/epsilon subdivisions,2YNVF@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Catalyzes a trans-dehydration via an enolate intermediate	aroQ	-	4.2.1.10	ko:K03786	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03084	RC00848	ko00000,ko00001,ko00002,ko01000	-	-	iIT341.HP1038	DHquinase_II
MJ_419_00032	1172190.M947_09765	1.72e-64	201.0	COG0801@1|root,COG0801@2|Bacteria,1MZH8@1224|Proteobacteria,42TJ2@68525|delta/epsilon subdivisions,2YPJ2@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	folK	-	2.7.6.3	ko:K00950	ko00790,ko01100,map00790,map01100	M00126,M00841	R03503	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	HPPK
MJ_419_00033	929558.SMGD1_2192	1.02e-216	608.0	COG1419@1|root,COG1419@2|Bacteria,1MUQW@1224|Proteobacteria,42NBF@68525|delta/epsilon subdivisions,2YN28@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	N	flagellar biosynthesis	flhF	-	-	ko:K02404	-	-	-	-	ko00000,ko02035	-	-	-	SRP54
MJ_419_00034	929558.SMGD1_2193	9.52e-153	435.0	COG0455@1|root,COG0455@2|Bacteria,1R8IW@1224|Proteobacteria,42PF7@68525|delta/epsilon subdivisions,2YM9X@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	D	Belongs to the ParA family	flhG	-	-	ko:K04562	-	-	-	-	ko00000,ko02035	-	-	-	AAA_31,ParA
MJ_419_00035	1172190.M947_09750	1.04e-41	140.0	29NSE@1|root,309QF@2|Bacteria,1QT0N@1224|Proteobacteria,42TIY@68525|delta/epsilon subdivisions,2YP79@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00036	326298.Suden_1894	4.82e-114	338.0	COG0156@1|root,COG0156@2|Bacteria,1MVVH@1224|Proteobacteria,42MM1@68525|delta/epsilon subdivisions,2YN3A@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	8-amino-7-oxononanoate synthase	bioF	-	2.3.1.47	ko:K00652	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03210,R10124	RC00004,RC00039,RC02725	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
MJ_419_00037	326298.Suden_1893	5.55e-105	309.0	COG0444@1|root,COG0444@2|Bacteria,1R4KB@1224|Proteobacteria,42M3F@68525|delta/epsilon subdivisions,2YNXH@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	EP	abc transporter atp-binding protein	-	-	3.6.3.24	ko:K02031,ko:K15587	ko02010,ko02024,map02010,map02024	M00239,M00440	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.5	-	-	ABC_tran
MJ_419_00038	929558.SMGD1_1581	2.06e-289	811.0	COG0744@1|root,COG0744@2|Bacteria,1QTST@1224|Proteobacteria,43BJ8@68525|delta/epsilon subdivisions,2YMMJ@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	penicillin-binding protein	pbpA	-	2.4.1.129,3.4.16.4	ko:K05366	ko00550,ko01100,ko01501,map00550,map01100,map01501	-	-	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	Transgly,Transpeptidase
MJ_419_00040	1249480.B649_10555	4.94e-314	865.0	COG0119@1|root,COG0119@2|Bacteria,1MUNQ@1224|Proteobacteria,42MSP@68525|delta/epsilon subdivisions,2YNDA@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)	leuA	-	2.3.3.13	ko:K01649	ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230	M00432	R01213	RC00004,RC00470,RC02754	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	HMGL-like,LeuA_dimer
MJ_419_00041	929558.SMGD1_1608	0.0	900.0	COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,42M7A@68525|delta/epsilon subdivisions,2YNCK@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	glutamine synthetase	glnA	-	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	Gln-synt_C,Gln-synt_N
MJ_419_00042	944547.ABLL_1932	1.13e-42	156.0	COG1033@1|root,COG1033@2|Bacteria,1MUE1@1224|Proteobacteria,42ME2@68525|delta/epsilon subdivisions,2YM9E@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	MMPL family	-	-	-	ko:K07003	-	-	-	-	ko00000	-	-	-	MMPL,Patched
MJ_419_00043	1204178.I7HHP1_9CAUD	1.93e-08	63.5	4QC84@10239|Viruses,4QVG4@35237|dsDNA viruses  no RNA stage,4QS00@28883|Caudovirales,4QNZ9@10744|Podoviridae	10744|Podoviridae	S	Pfam:ATPase	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00044	123214.PERMA_1348	2.99e-08	64.3	28YFJ@1|root,2ZK9W@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00045	598659.NAMH_0316	1.85e-31	125.0	COG1475@1|root,COG1475@2|Bacteria,1MW2E@1224|Proteobacteria,42M8S@68525|delta/epsilon subdivisions,2YNN2@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	K	Belongs to the ParB family	parB	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	ParBc
MJ_419_00046	1345592.CBOM010000053_gene1515	2.49e-06	55.5	COG1192@1|root,COG1192@2|Bacteria,1N5CA@1224|Proteobacteria,42RDX@68525|delta/epsilon subdivisions,2YQN4@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	D	involved in chromosome partitioning	-	-	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
MJ_419_00048	929558.SMGD1_2812	2.84e-219	619.0	COG1807@1|root,COG1807@2|Bacteria,1P6JE@1224|Proteobacteria,42Z03@68525|delta/epsilon subdivisions	1224|Proteobacteria	M	Dolichyl-phosphate-mannose-protein mannosyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	PMT_2
MJ_419_00049	929558.SMGD1_2811	1.7e-71	226.0	COG0859@1|root,COG0859@2|Bacteria,1PQIG@1224|Proteobacteria,42MUM@68525|delta/epsilon subdivisions	1224|Proteobacteria	M	PFAM glycosyl transferase family 9	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_9
MJ_419_00050	1537917.JU82_02430	3.51e-65	204.0	COG2203@1|root,COG2203@2|Bacteria,1NT6X@1224|Proteobacteria,42XRB@68525|delta/epsilon subdivisions,2YRTW@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	T	GAF domain	-	-	-	-	-	-	-	-	-	-	-	-	GAF
MJ_419_00051	563040.Saut_0117	2.16e-297	827.0	COG0367@1|root,COG0367@2|Bacteria,1MW4E@1224|Proteobacteria,42MEI@68525|delta/epsilon subdivisions,2YN3Q@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Asparagine synthase, glutamine-hydrolyzing	-	-	6.3.5.4	ko:K01953	ko00250,ko01100,ko01110,map00250,map01100,map01110	-	R00578	RC00010	ko00000,ko00001,ko01000,ko01002	-	-	-	Asn_synthase,GATase_7
MJ_419_00052	765913.ThidrDRAFT_1372	4.67e-65	205.0	COG0500@1|root,COG2226@2|Bacteria,1NER3@1224|Proteobacteria,1S188@1236|Gammaproteobacteria,1WXVS@135613|Chromatiales	135613|Chromatiales	Q	PFAM methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
MJ_419_00055	506534.Rhein_3189	0.00039	45.4	29QE5@1|root,30BDG@2|Bacteria,1QTCG@1224|Proteobacteria,1SV1K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	LPP20 lipoprotein	-	-	-	-	-	-	-	-	-	-	-	-	LPP20
MJ_419_00056	657322.FPR_13990	2.29e-130	393.0	COG3344@1|root,COG3344@2|Bacteria,1TP9A@1239|Firmicutes,248K6@186801|Clostridia,3WGKZ@541000|Ruminococcaceae	186801|Clostridia	L	Group II intron, maturase-specific domain	-	-	2.7.7.49	ko:K00986	-	-	-	-	ko00000,ko01000	-	-	-	GIIM,HNH,RVT_1,RVT_N
MJ_419_00057	1300345.LF41_1170	2.76e-20	88.2	COG1028@1|root,COG1028@2|Bacteria,1MUYD@1224|Proteobacteria,1S25F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	short-chain dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
MJ_419_00058	56780.SYN_00857	9.31e-25	113.0	COG1413@1|root,COG1413@2|Bacteria	2|Bacteria	C	deoxyhypusine monooxygenase activity	CP_0755	-	-	-	-	-	-	-	-	-	-	-	HEAT_2,HEAT_PBS,Response_reg
MJ_419_00059	56780.SYN_00856	4.61e-160	469.0	COG1215@1|root,COG1215@2|Bacteria,1MXG7@1224|Proteobacteria,42MRD@68525|delta/epsilon subdivisions,2X5MW@28221|Deltaproteobacteria	28221|Deltaproteobacteria	M	Glycosyl transferase family 21	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_tranf_2_3
MJ_419_00060	4098.XP_009626465.1	0.000154	50.4	KOG1565@1|root,KOG1565@2759|Eukaryota,37MGX@33090|Viridiplantae,3GE77@35493|Streptophyta,44QHH@71274|asterids	35493|Streptophyta	O	Zinc-dependent metalloprotease	-	GO:0001101,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005623,GO:0005886,GO:0006508,GO:0006807,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009753,GO:0010033,GO:0010035,GO:0010038,GO:0016020,GO:0016787,GO:0019538,GO:0031224,GO:0031225,GO:0032502,GO:0040007,GO:0042221,GO:0043170,GO:0044238,GO:0044425,GO:0044464,GO:0046686,GO:0048519,GO:0048580,GO:0048583,GO:0048589,GO:0048831,GO:0050789,GO:0050793,GO:0050896,GO:0051093,GO:0051239,GO:0051241,GO:0065007,GO:0070011,GO:0071704,GO:0071944,GO:0080186,GO:0140096,GO:1900055,GO:1900056,GO:1901564,GO:1901700,GO:1905622,GO:2000024,GO:2000026,GO:2000028,GO:2000241	-	ko:K07761,ko:K07999	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	PG_binding_1,Peptidase_M10
MJ_419_00061	525898.Sdel_1853	5.32e-10	65.1	COG0727@1|root,COG0727@2|Bacteria,1Q2XT@1224|Proteobacteria,42WFK@68525|delta/epsilon subdivisions,2YQMI@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	Putative zinc- or iron-chelating domain	-	-	-	ko:K06940	-	-	-	-	ko00000	-	-	-	CxxCxxCC
MJ_419_00062	1045855.DSC_04005	9.1e-16	80.1	2AAVV@1|root,3108W@2|Bacteria,1PN9A@1224|Proteobacteria,1TBWX@1236|Gammaproteobacteria,1X7A9@135614|Xanthomonadales	135614|Xanthomonadales	S	SEC-C motif	-	-	-	-	-	-	-	-	-	-	-	-	SEC-C
MJ_419_00063	765913.ThidrDRAFT_2671	6.09e-39	134.0	COG0745@1|root,COG0745@2|Bacteria,1RHDD@1224|Proteobacteria,1S67R@1236|Gammaproteobacteria,1WY7G@135613|Chromatiales	135613|Chromatiales	KT	response regulator, receiver	-	-	-	ko:K03413	ko02020,ko02030,map02020,map02030	M00506	-	-	ko00000,ko00001,ko00002,ko02022,ko02035	-	-	-	Response_reg
MJ_419_00064	998088.B565_3176	2.68e-10	59.7	COG1366@1|root,COG1366@2|Bacteria,1N8B6@1224|Proteobacteria,1SDVH@1236|Gammaproteobacteria,1Y65X@135624|Aeromonadales	135624|Aeromonadales	T	STAS domain	-	-	-	-	-	-	-	-	-	-	-	-	STAS_2
MJ_419_00065	580332.Slit_1588	7.79e-189	559.0	COG0643@1|root,COG2198@1|root,COG0643@2|Bacteria,COG2198@2|Bacteria,1MUAG@1224|Proteobacteria,2VI5B@28216|Betaproteobacteria,44W69@713636|Nitrosomonadales	28216|Betaproteobacteria	T	Signal transducing histidine kinase homodimeric	-	-	2.7.13.3	ko:K03407	ko02020,ko02030,map02020,map02030	M00506	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022,ko02035	-	-	-	CheW,H-kinase_dim,HATPase_c,Hpt
MJ_419_00067	1172190.M947_08065	5.4e-35	125.0	2BSDP@1|root,32MFN@2|Bacteria,1Q399@1224|Proteobacteria,42Y0H@68525|delta/epsilon subdivisions,2YQR2@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00068	563040.Saut_0070	2.54e-239	672.0	COG1032@1|root,COG1032@2|Bacteria,1Q5NG@1224|Proteobacteria,42N2D@68525|delta/epsilon subdivisions,2YNAR@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	Radical SAM	-	-	-	-	-	-	-	-	-	-	-	-	B12-binding,DUF4080,Radical_SAM
MJ_419_00069	929558.SMGD1_1305	4.35e-106	323.0	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,42P9M@68525|delta/epsilon subdivisions,2YMXC@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	NT	chemotaxis protein	-	-	-	-	-	-	-	-	-	-	-	-	CZB,MCPsignal
MJ_419_00070	563040.Saut_1925	2.27e-51	167.0	COG1714@1|root,COG1714@2|Bacteria,1N7R6@1224|Proteobacteria,42UXC@68525|delta/epsilon subdivisions,2YPKG@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	RDD family	-	-	-	-	-	-	-	-	-	-	-	-	RDD
MJ_419_00071	929558.SMGD1_1312	9.14e-149	431.0	COG0477@1|root,COG2814@2|Bacteria,1MVZI@1224|Proteobacteria,42P57@68525|delta/epsilon subdivisions,2YMGG@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	EGP	Major facilitator superfamily	-	-	-	ko:K05820	-	-	-	-	ko00000,ko02000	2.A.1.27	-	-	MFS_1_like
MJ_419_00072	929558.SMGD1_1315	3.62e-109	323.0	COG0668@1|root,COG0668@2|Bacteria,1N596@1224|Proteobacteria,42M0U@68525|delta/epsilon subdivisions,2YNJV@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	mechanosensitive ion channel	mscS	-	-	ko:K03442	-	-	-	-	ko00000,ko02000	1.A.23.2	-	-	MS_channel,TM_helix
MJ_419_00073	929558.SMGD1_1317	1.42e-31	114.0	COG1547@1|root,COG1547@2|Bacteria,1PD94@1224|Proteobacteria,42WUE@68525|delta/epsilon subdivisions,2YQXY@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	Domain of unknown function (DUF309)	-	-	-	-	-	-	-	-	-	-	-	-	DUF309
MJ_419_00074	929558.SMGD1_1319	4.17e-51	163.0	COG0607@1|root,COG0607@2|Bacteria,1Q1NN@1224|Proteobacteria,42U2F@68525|delta/epsilon subdivisions,2YQ1E@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	P	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00078	1249480.B649_01605	2.47e-08	54.7	2BR0I@1|root,32JXY@2|Bacteria,1Q8HJ@1224|Proteobacteria,433K7@68525|delta/epsilon subdivisions,2YSTW@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
